ID,Var_ID,Name,Description,ord
SCCS1-NA,SCCS1,NA,Missing data,99
SCCS1-1,SCCS1,No Trade,No Trade,1
SCCS1-2,SCCS1,No Food Imports,Food Imports absent although trade present,2
SCCS1-3,SCCS1,Salt & Minerals only,Salt or Minerals only,3
SCCS1-4,SCCS1,< 10% of Food,< 10 pct of food (90 pct from local extractive sources),4
SCCS1-5,SCCS1,< 50% of Food/less local source,"< 50 pct of food, and less than any single local source",5
SCCS1-7,SCCS1,> 50% of Food,> 50 pct of food,7
SCCS2-NA,SCCS2,NA,Missing data,99
SCCS2-1,SCCS2,Direct exchanges,Direct individual exchanges,1
SCCS2-2,SCCS2,Indirect exchanges,Indirect individual exchanges,2
SCCS2-3,SCCS2,Local markets,Local markets,3
SCCS2-4,SCCS2,Middlemen,Middlemen,4
SCCS2-5,SCCS2,3 or 4 of above,Three or four of above,5
SCCS3-NA,SCCS3,NA,Missing data,99
SCCS3-1,SCCS3,None,None,1
SCCS3-2,SCCS3,Non-Food Crops,Non-food Crops,2
SCCS3-3,SCCS3,< 10%,< 10 pct,3
SCCS3-4,SCCS3,< 50% < single source,"< 50 pct , and less than any other single source, incl. trade",4
SCCS3-5,SCCS3,< 50% > single source,"< 50 pct , and more than any other single source, incl. trade",5
SCCS3-6,SCCS3,Primarily agricultural,Primarily agricultural,6
SCCS4-NA,SCCS4,NA,Missing data,99
SCCS4-1,SCCS4,Non-Food,Non-food,1
SCCS4-3,SCCS4,Tree or Vine,Tree or Vine,3
SCCS4-4,SCCS4,Roots,Roots,4
SCCS4-5,SCCS4,Cereals,Cereals,5
SCCS5-NA,SCCS5,NA,Missing data,99
SCCS5-1,SCCS5,None,None,1
SCCS5-2,SCCS5,"Present, not food source","Present, not food source",2
SCCS5-3,SCCS5,< 10% Food Supply,< 10 pct food supply,3
SCCS5-4,SCCS5,< 50% chiefly meat,< 50 pct - chiefly meat,4
SCCS5-5,SCCS5,< 50% chiefly dairy,< 50 pct - chiefly dairy,5
SCCS5-7,SCCS5,> 50%,> 50 pct,7
SCCS6-NA,SCCS6,NA,Missing data,99
SCCS6-1,SCCS6,Small Species,"Small Species, e.g. Bees, Cats, Dogs, Fowl",1
SCCS6-2,SCCS6,Pigs,Pigs,2
SCCS6-3,SCCS6,Ovides,Ovides,3
SCCS6-4,SCCS6,Equines,Equines,4
SCCS6-5,SCCS6,Reindeer,Reindeer,5
SCCS6-6,SCCS6,Camels,Camels,6
SCCS6-7,SCCS6,Bovines,Bovines,7
SCCS7-NA,SCCS7,NA,Missing data,99
SCCS7-1,SCCS7,None,None,1
SCCS7-2,SCCS7,< 10% Food Supply,< 10 pct food supply,2
SCCS7-3,SCCS7,< 50% < single source,"< 50 pct , and less than any other single source, incl. trade",3
SCCS7-4,SCCS7,< 50% > single source,"< 50 pct , and more than any other single source, incl. trade",4
SCCS7-5,SCCS7,> 50%,> 50 pct,5
SCCS8-NA,SCCS8,NA,Missing data,99
SCCS8-1,SCCS8,Shellfish,Shellfish,1
SCCS8-2,SCCS8,True Fish,True fish,2
SCCS8-4,SCCS8,2 or more of above,Two or more of above,4
SCCS9-NA,SCCS9,NA,Missing data,99
SCCS9-1,SCCS9,None,None,1
SCCS9-2,SCCS9,Not food source,Not food source,2
SCCS9-3,SCCS9,< 10% Food Supply,< 10 pct food supply,3
SCCS9-4,SCCS9,< 50% < single source,"< 50 pct , and less than any other single source, incl. trade",4
SCCS9-5,SCCS9,< 50% > single source,"< 50 pct , and more than any other single source, incl. trade",5
SCCS9-6,SCCS9,> 50%,> 50 pct,6
SCCS10-NA,SCCS10,NA,Missing data,99
SCCS10-1,SCCS10,Birds or Waterfowl,Birds or Waterfowl,1
SCCS10-2,SCCS10,Small Mammals,Small Mammals,2
SCCS10-3,SCCS10,Large Game,Large Game,3
SCCS10-4,SCCS10,Two or more of above,Two or more of above,4
SCCS11-NA,SCCS11,NA,Missing data,99
SCCS11-1,SCCS11,O None,None,1
SCCS11-2,SCCS11,U Not food source,< 10 pct food supply,2
SCCS11-3,SCCS11,S < 10% Food Supply,"< 50 pct , and less than any other single source, incl. trade",3
SCCS11-4,SCCS11,I < 50% < single source,"< 50 pct , and more than any other single source, incl. trade",4
SCCS11-5,SCCS11,D < 50% > single source,> 50 pct,5
SCCS12-NA,SCCS12,NA,Missing data,99
