ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
SCCS1,Intercommunity Trade as Food Source,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Ordinal,,murdock1970subsistence,,
SCCS2,Food Import Acquisition,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS3,Agriculture - Contribution to Local Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS4,Crops - Principal,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS5,Animal Husbandry - Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS6,Animals - Domesticated,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS7,Fishing - Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS8,Fish,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS9,Hunting - Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS10,Animals Hunted,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS11,Gathering - Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS12,Gathered Foods,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS13,Land Transport (Especially regarding Food Transport),"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS14,Routes of Land Transport,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS15,Water Transport,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS16,Water Craft,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS17,Money (Media of Exchange) and Credit,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS18,Credit Source,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS19,Preservation and Storage of Food,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
SCCS20,Food Storage,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",,"Subsistence, Economy",Categorical,,murdock1970subsistence,,
