"SCCS ID","SCCS Name","SCCS Date","SCCS Note","EA ID","EA Name","EA Date","EA Note","EA Summary ID","EA Summary Name","EA Summary Date","EA Summary Note","AWC ID","AWC Name","AWC Date","AWC Note","SRS","PSF Cluster No","PSF Cluster Name","SES Name","WES Name","Fiche ID","Fiche Name","Fiche Source","Fiche Note","eHRAF ID","eHRAF Name","eHRAF Source","Culture Name","Start Date","End Date","Community Name","District Name","Focus Note","Region Code","Culture Area","Countries","Population (in thousands)","Population Year","Population Note","Language Name","Language Code","Language Note","Ethnonyms"
"2","Kung","1950","None","Aa01","Kung","1950","None","Aa01","Kung","1950","None","A02a","Kung Bushmen","1950","None","0","None","None","None","None","FX10","San","1,5,6,9,11,12,13,15,17","None","FX10","San","http://ehrafworldcultures.yale.edu/document?id=fx10-001
http://ehrafworldcultures.yale.edu/document?id=fx10-005
http://ehrafworldcultures.yale.edu/document?id=fx10-006
http://ehrafworldcultures.yale.edu/document?id=fx10-009
http://ehrafworldcultures.yale.edu/document?id=fx10-011
http://ehrafworldcultures.yale.edu/document?id=fx10-012
http://ehrafworldcultures.yale.edu/document?id=fx10-013
http://ehrafworldcultures.yale.edu/document?id=fx10-015
http://ehrafworldcultures.yale.edu/document?id=fx10-017
","!Kung","1950","1950","None","Nyae Nyae Region","None","AF","None","Angola; Botswana; Namibia","3.5","1953","Of this total, 1,000 were located in the Nyae Nyae region.","Kung-Tsumkwe","KTZ","None","Auen,Basarwa,Bojesman,Buchman,Bushmen,Gǀwi,Gǁana,Haiǁom,Heikum,Hiechware,Hukwe,Kung,Kxoe,Makwengo,Masarwa,Naro,Naron,Nharo,Nusan,San (African people),Sangua,Sarwa,Soaqua,Tannekwe,Tserekwe,Xam,Zhuǀóasi,ǃKoó,ǃKung,ǃXoó,ǃXu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","FX10","San","20","None","FX10","San","http://ehrafworldcultures.yale.edu/document?id=fx10-020
","!Kung","1973","1973","/ai/ai","None","None","AF","None","Botswana","0.0","0","None","Kung-Tsumkwe","KTZ","None","Auen,Basarwa,Bojesman,Buchman,Bushmen,Gǀwi,Gǁana,Haiǁom,Heikum,Hiechware,Hukwe,Kung,Kxoe,Makwengo,Masarwa,Naro,Naron,Nharo,Nusan,San (African people),Sangua,Sarwa,Soaqua,Tannekwe,Tserekwe,Xam,Zhuǀóasi,ǃKoó,ǃKung,ǃXoó,ǃXu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","FX10","San","16,19","None","FX10","San","http://ehrafworldcultures.yale.edu/document?id=fx10-016
http://ehrafworldcultures.yale.edu/document?id=fx10-019
","!Kung","1963","1963","None","Dobe Region","None","AF","None","Angola; Botswana; Namibia","1.2","1963","See 16:31.","Kung-Tsumkwe","KTZ","None","Auen,Basarwa,Bojesman,Buchman,Bushmen,Gǀwi,Gǁana,Haiǁom,Heikum,Hiechware,Hukwe,Kung,Kxoe,Makwengo,Masarwa,Naro,Naron,Nharo,Nusan,San (African people),Sangua,Sarwa,Soaqua,Tannekwe,Tserekwe,Xam,Zhuǀóasi,ǃKoó,ǃKung,ǃXoó,ǃXu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","FX10","San","31","None","None","None","None","!Kung","9999","9999","None","Dobe-/Du/da Region","None","AF","None","Angola; Botswana; Namibia","0.0","0","None","Kung-Tsumkwe","KTZ","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","FX10","San","32,43","None","FX10","San","http://ehrafworldcultures.yale.edu/document?id=fx10-032
http://ehrafworldcultures.yale.edu/document?id=fx10-043
","!Kung","1968","1968","None","Dobe-/Du/da Region","None","AF","None","Angola; Botswana; Namibia","0.0","0","None","Kung-Tsumkwe","KTZ","None","Auen,Basarwa,Bojesman,Buchman,Bushmen,Gǀwi,Gǁana,Haiǁom,Heikum,Hiechware,Hukwe,Kung,Kxoe,Makwengo,Masarwa,Naro,Naron,Nharo,Nusan,San (African people),Sangua,Sarwa,Soaqua,Tannekwe,Tserekwe,Xam,Zhuǀóasi,ǃKoó,ǃKung,ǃXoó,ǃXu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","FX10","San","4","None","FX10","San","http://ehrafworldcultures.yale.edu/document?id=fx10-004
","!Kung","1900","1900","None","None","None","AF","None","Angola; Botswana; Namibia","0.0","0","None","Kung-Tsumkwe","KTZ","None","Auen,Basarwa,Bojesman,Buchman,Bushmen,Gǀwi,Gǁana,Haiǁom,Heikum,Hiechware,Hukwe,Kung,Kxoe,Makwengo,Masarwa,Naro,Naron,Nharo,Nusan,San (African people),Sangua,Sarwa,Soaqua,Tannekwe,Tserekwe,Xam,Zhuǀóasi,ǃKoó,ǃKung,ǃXoó,ǃXu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Kung","None","None","None","None","None","None","None","!Kung","9999","9999","None","None","None","AF","None","Namibia","0.0","0","None","Kung-Tsumkwe","KTZ","None",""
"None","None","None","None","Ca34","Ababda","1920","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Ababda","1920","1920","None","None","None","AF","None","Egypt; Ethiopia; Sudan","13.0","1927","None","Beja","BEI","None",""
"None","None","None","None","Ai27","Abarambo","1890","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Abarambo","1890","1890","None","None","None","AF","None","Congo, Democratic Republic of the","50.0","0","None","Barambu","BRM","None",""
"None","None","None","None","Af38","Abron","1900","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Abron","1900","1900","None","None","None","AF","West Africa","Ghana; Cote d'Ivoire","75.0","1950","None","Abron","ABR","None",""
